id,title,thumbnail,short_description,game_url,genre,platform,publisher,developer,release_date,freetogame_profile_url
1,Dauntless,"https://www.freetogame.com/g/1/thumbnail.jpg","A free-to-play, co-op action RPG with gameplay similar to Monster Hunter.","https://www.freetogame.com/open/dauntless",MMORPG,"PC (Windows)","Phoenix Labs","Phoenix Labs, Iron Galaxy",2019-05-21,"https://www.freetogame.com/dauntless"
2,"World of Tanks","https://www.freetogame.com/g/2/thumbnail.jpg","If you like blowing up tanks, with a quick and intense game style you will love this game!","https://www.freetogame.com/open/world-of-tanks",Shooter,"PC (Windows)",Wargaming,Wargaming,2011-04-12,"https://www.freetogame.com/world-of-tanks"
3,Warframe,"https://www.freetogame.com/g/3/thumbnail.jpg","A cooperative free-to-play third person online action shooter set in an stunning sci-fi world. ","https://www.freetogame.com/open/warframe",Shooter,"PC (Windows)","Digital Extremes","Digital Extremes",2013-03-25,"https://www.freetogame.com/warframe"
4,"CRSED: F.O.A.D.","https://www.freetogame.com/g/4/thumbnail.jpg","Take the battle royale genre and add  mystical powers and you have CRSED: F.O.A.D. (Aka Cuisine Royale: Second Edition)","https://www.freetogame.com/open/crsed",Shooter,"PC (Windows)","Gaijin Distribution KFT","Darkflow Software",2019-12-12,"https://www.freetogame.com/crsed"
5,Crossout,"https://www.freetogame.com/g/5/thumbnail.jpg","A post-apocalyptic MMO vehicle combat game! ","https://www.freetogame.com/open/crossout",Shooter,"PC (Windows)",Targem,Gaijin,2017-05-30,"https://www.freetogame.com/crossout"
6,"Blade and Soul","https://www.freetogame.com/g/6/thumbnail.jpg","A free-to-play martial arts MMORPG that tasks players with learning combination attacks.","https://www.freetogame.com/open/blade-and-soul",MMORPG,"PC (Windows)",NCSoft,NCSoft,2016-01-19,"https://www.freetogame.com/blade-and-soul"
7,"Armored Warfare","https://www.freetogame.com/g/7/thumbnail.jpg","A modern team-based MMO tank game from Obsidian Entertainment.","https://www.freetogame.com/open/armored-warfare",Shooter,"PC (Windows)","My.com (Mail.ru Group)","Obsidian Entertainment",2015-10-08,"https://www.freetogame.com/armored-warfare"
8,Trove,"https://www.freetogame.com/g/8/thumbnail.jpg","A free to play Sandbox massively multiplayer online role-playing game! ","https://www.freetogame.com/open/trove",MMORPG,"PC (Windows)","Trion Worlds","Trion Worlds",2015-07-09,"https://www.freetogame.com/trove"
9,"World of Warships","https://www.freetogame.com/g/9/thumbnail.jpg","A 3D free to play naval action-themed MMO from the creators of World of Tanks! ","https://www.freetogame.com/open/world-of-warships",Shooter,"PC (Windows)",Wargaming,Wargaming,2015-07-02,"https://www.freetogame.com/world-of-warships"
10,ArcheAge,"https://www.freetogame.com/g/10/thumbnail.jpg","A free-to-play, hybrid fantasy/sandbox MMORPG brought to you by Trion Worlds.","https://www.freetogame.com/open/archeage",MMORPG,"PC (Windows)","Kakao Games","XL Games",2014-09-04,"https://www.freetogame.com/archeage"
11,Neverwinter,"https://www.freetogame.com/g/11/thumbnail.jpg","A free-to-play 3D action MMORPG based on the acclaimed Dungeons & Dragons fantasy roleplaying game. ","https://www.freetogame.com/open/neverwinter",MMORPG,"PC (Windows)","Perfect World Entertainment","Cryptic Studios",2013-12-06,"https://www.freetogame.com/neverwinter"
12,"War Thunder","https://www.freetogame.com/g/12/thumbnail.jpg","A MMO shooter that puts you in command of hundreds of the finest combat vehicles of World War II.","https://www.freetogame.com/open/war-thunder",Shooter,"PC (Windows)","Gaijin Entertainment","Gaijin Entertainment",2013-08-15,"https://www.freetogame.com/war-thunder"
13,"Guild Wars 2","https://www.freetogame.com/g/13/thumbnail.jpg","A free-to-play MMORPG, the follow-up to ArenaNet's popular Guild Wars. ","https://www.freetogame.com/open/guild-wars-2",MMORPG,"PC (Windows)",NCsoft,ArenaNet,2012-08-28,"https://www.freetogame.com/guild-wars-2"
14,"Star Trek Online","https://www.freetogame.com/g/14/thumbnail.jpg","A free-to-play, 3D, Sci-Fi MMORPG based on the popular Star Trek series.","https://www.freetogame.com/open/star-trek-online",MMORPG,"PC (Windows)","Perfect World Entertainment"," Cryptic Studios",2010-02-02,"https://www.freetogame.com/star-trek-online"
15,Crossfire,"https://www.freetogame.com/g/15/thumbnail.jpg","A first person tactical shooter with a huge selection of game modes!","https://www.freetogame.com/open/crossfire",Shooter,"PC (Windows)","Neowiz Games",SmileGate,2007-05-03,"https://www.freetogame.com/crossfire"
16,Roblox,"https://www.freetogame.com/g/16/thumbnail.jpg","A free to play sandbox MMO with lots of creation options.","https://www.freetogame.com/open/roblox",MMO,"PC (Windows)","Roblox Corporation","Roblox Corporation",2006-12-22,"https://www.freetogame.com/roblox"
17,"Entropia Universe","https://www.freetogame.com/g/17/thumbnail.jpg","A 3D MMO Multi Virtual World Real Cash Economy Experience with RPG elements. ","https://www.freetogame.com/open/entropia-universe",MMORPG,"PC (Windows)",MindArk,MindArk,2003-01-30,"https://www.freetogame.com/entropia-universe"
18,"Second Life","https://www.freetogame.com/g/18/thumbnail.jpg","A free to play 3D online virtual world with a huge reputation! ","https://www.freetogame.com/open/second-life",Social,"PC (Windows)","Linden Lab","Linden Lab",2003-06-23,"https://www.freetogame.com/second-life"
19,"Minion Masters","https://www.freetogame.com/g/19/thumbnail.jpg","A free-to-play strategic minion brawler from Danish developer Betadwarf. ","https://www.freetogame.com/open/minion-masters","Card Game","PC (Windows)",Betadwarf,Betadwarf,2019-05-24,"https://www.freetogame.com/minion-masters"
20,"Splitgate: Arena Warfare","https://www.freetogame.com/g/20/thumbnail.jpg","A free-to-play multiplayer shooter developed and published by 1047 games. ","https://www.freetogame.com/open/splitgate-arena-warfare",Shooter,"PC (Windows)","1047 Games","1047 Games",2019-05-22,"https://www.freetogame.com/splitgate-arena-warfare"
21,"Destiny 2","https://www.freetogame.com/g/21/thumbnail.jpg","A free-to-play multiplayer Sci-Fi MMOFPS from Bungie.","https://www.freetogame.com/open/destiny-2",Shooter,"PC (Windows)",Bungie,Bungie,2019-10-01,"https://www.freetogame.com/destiny-2"
22,"Wild Terra Online","https://www.freetogame.com/g/22/thumbnail.jpg","A medieval sandbox MMO designed with core players in mind. ","https://www.freetogame.com/open/wild-terra-online",MMORPG,"PC (Windows)","Juvty Worlds Ltd.","Juvty Worlds Ltd.",2017-12-18,"https://www.freetogame.com/wild-terra-online"
23,"Apex Legends","https://www.freetogame.com/g/23/thumbnail.jpg","A free-to-play strategic battle royale game featuring 60-player matches and team-based play. ","https://www.freetogame.com/open/apex-legends",Shooter,"PC (Windows)","Electronic Arts","Electronic Arts",2019-02-04,"https://www.freetogame.com/apex-legends"
24,"Counter-Strike: Global Offensive","https://www.freetogame.com/g/24/thumbnail.jpg","The popular multiplayer shooter from Valve. ","https://www.freetogame.com/open/counter-strike-global-offensive",Shooter,"PC (Windows)",Valve,"Valve, Hidden Path Entertainment",2012-08-21,"https://www.freetogame.com/counter-strike-global-offensive"
28,Spacelords,"https://www.freetogame.com/g/28/thumbnail.jpg","A free-to-play 4v1 sci-fi shooter. ","https://www.freetogame.com/open/spacelords",Shooter,"PC (Windows)"," MercurySteam Entertainment",MercurySteam,2018-09-22,"https://www.freetogame.com/spacelords"
30,"Quake Champions","https://www.freetogame.com/g/30/thumbnail.jpg","Quake Champions is a callback to the early days of the Quake IP, featuring the fast-paced action that made the IP popular over two decades ago. ","https://www.freetogame.com/open/quake-champions",Shooter,"PC (Windows)","Bethesda Softworks","id Software",2017-08-22,"https://www.freetogame.com/quake-champions"
31,"Cosmos Invictus","https://www.freetogame.com/g/31/thumbnail.jpg","A strategic collectible card game developed and published by Pegnio Ltd. ","https://www.freetogame.com/open/cosmos-invictus","Card Game","PC (Windows)","Pegnio Ltd","Pegnio Ltd",2018-06-27,"https://www.freetogame.com/cosmos-invictus"
